ORF,RANK,BIN,evo_rate_norm
YCR008W,1672.0,1Medlow,0.30196857504063573
YCR009C,161.0,0Low,0.029077117572692796
YCR010C,956.0,0Low,0.17265667328878453
YCR011C,1096.0,0Low,0.19794112335199568
YCR012W,295.0,0Low,0.053277948347480585
YCR014C,4948.0,4High,0.8936247065197761
YCR015C,5159.0,4High,0.93173198482933
YCR016W,4152.0,3Medhigh,0.749864547588947
YCR017C,1966.0,1Medlow,0.35506592017337907
YCR019W,4163.0,3Medhigh,0.7518511829510566
YCR020C,1956.0,1Medlow,0.3532598880260069
YCR020C-A,4423.0,3Medhigh,0.7988080187827343
YCR020W-B,5094.0,4High,0.9199927758714105
YCR021C,3503.0,3Medhigh,0.6326530612244898
YCR023C,2249.0,2Medium,0.406176629944013
YCR024C,2998.0,2Medium,0.5414484377821925
YCR024C-A,500.0,0Low,0.09030160736861116
YCR026C,4457.0,4High,0.8049485280837999
YCR027C,2276.0,2Medium,0.411052916741918
YCR028C,1684.0,1Medlow,0.3041358136174824
YCR028C-A,743.0,0Low,0.1341881885497562
YCR030C,2501.0,2Medium,0.451688640057793
YCR031C,52.0,0Low,0.009391367166335561
YCR032W,4811.0,4High,0.8688820661007766
YCR033W,4803.0,4High,0.8674372403828788
YCR034W,991.0,0Low,0.1789777858045873
YCR035C,2301.0,2Medium,0.4155679971103486
YCR036W,3067.0,2Medium,0.5539100595990608
YCR037C,1213.0,1Medlow,0.2190716994762507
YCR038C,4990.0,4High,0.9012100415387394
YCR039C,1.0,0Low,0.00018060321473722233
YCR040W,5156.0,4High,0.9311901751851183
YCR042C,2645.0,2Medium,0.47769550297995306
YCR043C,4031.0,3Medhigh,0.7280115586057432
